original_index,prompt,citation,title_extracted,venue_extracted,top_match,title_similarity,venue_similarity,venue_crossref,status
2,"I want to write an article about: ""Evaluation and mitigation efforts that define “fairness” only in terms of a model’s inputs/outputs can be misleading Fairness-related failures can come from the surrounding sociotechnical context."". Give me references that support the hypothesis related to that topic.","Barocas, S., & Selbst, A. (2016). Big data's hidden biases. Communications of the ACM, 59(10), 80-87.

Title: ""Fairness in Machine Learning: A Survey""
Author: Verma, R., & Rubin, J. (2018)",Fairness in Machine Learning: A Survey,Communications of the ACM,"{'title': 'Fairness in Machine Learning: A Survey', 'author': 'Caton; Haas', 'published_year': 2024, 'type': 'journal-article', 'doi': '10.1145/3616865', 'container': 'ACM Computing Surveys'}",1.0,0.3913,ACM Computing Surveys,exists
2,"I want to write an article about: ""Evaluation and mitigation efforts that define “fairness” only in terms of a model’s inputs/outputs can be misleading Fairness-related failures can come from the surrounding sociotechnical context."". Give me references that support the hypothesis related to that topic.","Chouldechova, A. (2017). The limits of fair machine learning. Proceedings of the National Academy of Sciences, 114(38), 10141-10146.

Title: ""Fairness in Algorithmic Decision Making: A Survey""
Author: Dwork, C., & Roth, L. (2019)",Fairness in Algorithmic Decision Making: A Survey,Proceedings of the National Academy of Sciences,"{'title': 'Fairness in Algorithmic Decision Making', 'author': 'Chakraborty; Gummadi', 'published_year': 2020, 'type': 'proceedings-article', 'doi': '10.1145/3371158.3371234', 'container': 'Proceedings of the 7th ACM IKDD CoDS and 25th COMAD'}",0.8864,0.5102,Proceedings of the 7th ACM IKDD CoDS and 25th COMAD,exists
6,"I want to write an article about: ""Large language models can reproduce and amplify biases present in their training data. When models are trained on web-scale text, they can reproduce stereotypes, derogatory associations, and representational harms."". Give me references that support the hypothesis related to that topic.","Caliskan, Aylin, et al., 2017. ""Semantics derived automatically from language corpora contain human-like biases""

Title: ""Bias in AI: Implications for the Future of Work""",Semantics derived automatically from language corpora contain human-like biases,,"{'title': 'Semantics derived automatically from language corpora contain human-like biases', 'author': 'Caliskan; Bryson; Narayanan', 'published_year': 2017, 'type': 'journal-article', 'doi': '10.1126/science.aal4230', 'container': 'Science'}",1.0,0.0,Science,exists
6,"I want to write an article about: ""Large language models can reproduce and amplify biases present in their training data. When models are trained on web-scale text, they can reproduce stereotypes, derogatory associations, and representational harms."". Give me references that support the hypothesis related to that topic.","Friedler, S. H., & Krause, A. J. (2019). ""A Survey on Bias in Machine Learning""",A Survey on Bias in Machine Learning,,"{'title': 'A survey on bias in machine learning research', 'author': 'Mikołajczyk-Bareła; Grochowski', 'published_year': None, 'type': 'posted-content', 'doi': '10.21203/rs.3.rs-5019524/v1', 'container': ''}",0.8889,0.0,,exists
14,"I want to write an article about: ""AI can undermine institutionally aggregated expertise. Offloading skilled judgment to automated systems can weaken how institutions build, maintain, and legitimate expertise over time."". Give me references that support the hypothesis related to that topic.","Orlikowski, W. J. (2010). The Duality of Technology: Rethinking the Concept of Technology and Its Management. Sage Publications. [Chapter 5: The Duality of Technology and the Duality of Organizations]","Orlikowski, W",,"{'title': 'Orlikowski, Pawel', 'author': '', 'published_year': 2011, 'type': 'reference-entry', 'doi': '10.1093/benz/9780199773787.article.b00133501', 'container': 'Benezit Dictionary of Artists'}",0.8667,0.0,Benezit Dictionary of Artists,exists
15,"I want to write an article about: ""AI can weaken institutions’ ability to adapt over time. When automated decision paths replace reflective human processes, institutions can become less responsive to changing circumstances."". Give me references that support the hypothesis related to that topic.","Orlikowski, W. J. (2017). AI and the Future of Organizational Life. Sloan Management Review, 58(3), 1-14. [Article]","Orlikowski, W",Sloan Management Review,"{'title': 'Orlikowski, Pawel', 'author': '', 'published_year': 2011, 'type': 'reference-entry', 'doi': '10.1093/benz/9780199773787.article.b00133501', 'container': 'Benezit Dictionary of Artists'}",0.8667,0.1923,Benezit Dictionary of Artists,exists
16,"I want to write an article about: ""AI can reduce transparency and accountability in institutional processes. Automated systems can make it harder to see who made a decision, why it was made, and how to challenge it."". Give me references that support the hypothesis related to that topic.","""The Ethics of Artificial Intelligence and Autonomous Systems"" by John Danaher. Oxford Handbooks, 2018. [Link]",The Ethics of Artificial Intelligence and Autonomous Systems,Oxford Handbooks,"{'title': 'The Ethics of Artificial Intelligence and Autonomous Systems: Review', 'author': 'Augustine Onwuzurike; Rita Chikodi; Odhiambo', 'published_year': 2024, 'type': 'journal-article', 'doi': '10.38124/ijisrt24aug591', 'container': 'International Journal of Innovative Science and Research Technology (IJISRT)'}",0.9375,0.2174,International Journal of Innovative Science and Research Technology (IJISRT),exists
18,"I want to write an article about: ""AI can delegitimize institutional knowledge. When institutions rely on outputs that appear authoritative but are not accountable, trust in institutional knowledge can erode."". Give me references that support the hypothesis related to that topic.","Crawford, Kate, and Vladimir Koltunov. ""Artificial Intelligence and the Future of Work: A Survey."" AI and Society 34, no. 3 (2018): 257-274.",Artificial Intelligence and the Future of Work: A Survey.,,"{'title': 'Artificial Intelligence and the Future of Work', 'author': 'Benhamou', 'published_year': 2020, 'type': 'journal-article', 'doi': '10.4000/rei.8727', 'container': ""Revue d'économie industrielle""}",0.8932,0.0,Revue d'économie industrielle,exists
18,"I want to write an article about: ""AI can delegitimize institutional knowledge. When institutions rely on outputs that appear authoritative but are not accountable, trust in institutional knowledge can erode."". Give me references that support the hypothesis related to that topic.","Pasquale, Frank. ""The Black Box Society: The Secret Algorithms That Control Money and Information."" Harvard University Press, 2015.",The Black Box Society: The Secret Algorithms That Control Money and Information.,Harvard University Press,"{'title': 'The black box society: the secret algorithms that control money and information', 'author': '', 'published_year': 2015, 'type': 'journal-article', 'doi': '10.5860/choice.190706', 'container': 'Choice Reviews Online'}",0.9937,0.2222,Choice Reviews Online,exists
18,"I want to write an article about: ""AI can delegitimize institutional knowledge. When institutions rely on outputs that appear authoritative but are not accountable, trust in institutional knowledge can erode."". Give me references that support the hypothesis related to that topic.","Tadajewski, Andrew, and David G. Banks. ""Artificial Intelligence and the Future of Work: A Review."" Journal of Organizational and End User Computing 30, no. 3 (2018): 247-260.",Artificial Intelligence and the Future of Work: A Review.,,"{'title': 'Artificial Intelligence and the Future of Work', 'author': 'Benhamou', 'published_year': 2020, 'type': 'journal-article', 'doi': '10.4000/rei.8727', 'container': ""Revue d'économie industrielle""}",0.8932,0.0,Revue d'économie industrielle,exists
